,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,McAlee Lawrence E Jr,"SVP, CFO",S - Sale,ESNT,$52.77,"-10,000","-$527,700","207,241",-5%,2019-12-24 08:20:43,2019-12-20
1,Brondeau Pierre R,"CEO, Chariman of Bd",S - Sale+OE,FMC,$99.06,"-110,636","-$10,959,838","328,245",-25%,2019-12-24 07:12:17,2019-12-20
